word,polarity
거친 말로,-2
거친 모양,-2
거친 목소리로,-2
거친 성질이나,-2
거친 소리가,-2
거칠거나 사납게,-2
거칠게,-2
거칠게 나는,-2
거칠게 된,-1
거칠게 말다툼하다,-2
거칠게 말함,-2
거칠게 몰아쉬는,-2
거칠게 몰아쉬다,-2
거칠게 소리가,-2
거칠게 쉬는,-2
거칠게 울려,-2
거칠게 일다,-2
거칠게 잇따라,-2
거칠게 행동하는,-1
거칠게 행동하다,-2
거칠고,-2
거칠고 가쁘게,-2
거칠고 격한,-2
거칠고 깔끄럽게,-2
거칠고 껄끄럽게,-2
거칠고 나쁘다,-2
거칠고 무뚝뚝하다,-2
거칠고 사나우며,-2
거칠고 세차다,-2
거칠고 심하다,-2
거칠고 험하게,-2
거칠고 험한,-2
거칠다,-2
거칠면서,-2
거칠면서 가쁘고,-2
거칠어져,-2
거침새가 없고,2
거침없이,1
거침이 없는,1
걱정,-2
걱정 같은,-1
걱정 따위로,-1
걱정 없이,2
걱정거리,-1
걱정과,-1
걱정과 근심,-1
걱정되거나,-1
걱정스러워서,-1
걱정스럽거나,-1
걱정스럽거나 조바심이,-1
걱정스럽다,-1
걱정으로,-1
걱정을,-1
걱정이,-1
걱정이 되거나,-1
걱정이 되는,-1
걱정이 되어,-1
걱정이 없고,2
걱정이 없는,1
걱정이나,-1
걱정이나 근심,-1
걱정이나 근심에,-1
걱정이나 언짢은,-2
걱정인 해를,-1
걱정하기는,-1
걱정하기는 하나,-1
걱정하는,-1
걱정하는 게,-1
걱정하다,-1
건강에 긍정적인,1
건강에 좋은,2
건강에 해로운,-2
건강하고,2
건강하고 온전하다,2
건강하고 온전한,2
건강하다,2
건강하여,2
건강하여 아름다운,2
건강하지 못하다,-1
건강한,2
건달처럼,-1
건둥건둥,1
건둥건둥하다,1
건둥반둥하다,-1
건드려 귀찮게,-1
건들거리고,-1
건들거리고 벙글거리며,-1
건들건들,-1
건들건들 지내다,-1
건들대다,-1
건망증이,-1
건망증이 심하며,-1
건방져,-2
건방지게,-2
건방지게 행동하다,-2
건방지네,-2
건방지다,-2
건방지며,-2
건방진,-1
건방짐,-2
건성 기침,-1
