,title,percent
201,소아성애,-0.2133153617850635
202,재배,-0.21317695578534618
203,제주,-0.2122788824748897
204,동력,-0.2117571507561021
205,때문,-0.21133610632001756
206,충돌,-0.2105458565147646
207,어벤져스,-0.2104636289699803
208,송기섭,-0.20977868210906006
209,김보라,-0.20977212481378754
210,한반도,-0.20933571877854393
211,치맥,-0.20911558324259683
212,브릭,-0.20884724033688185
213,가능,-0.20838546929502114
214,표적,-0.20795874571722342
215,오해,-0.20744551499238756
216,다크,-0.20714854873552213
217,변인,-0.20631328813771627
218,대면,-0.20573026091858662
219,지역,-0.20571096311012874
220,경고,-0.20566016470242565
221,서구,-0.2053699202973063
222,청각,-0.2047860567252078
223,코스닥,-0.20469285940939713
224,광폭,-0.2044840989027401
225,미성년,-0.20386128858988356
226,성장동력,-0.20361289040212802
227,아세안,-0.20352722189175493
228,아이폰,-0.20333985113053252
229,삼성,-0.20331420583896354
230,중앙정부,-0.20331188582667428
231,승려,-0.20315587958982628
232,회분,-0.20305498671942826
233,콘셉트카,-0.2030529872074642
234,서비스업,-0.20282298462323614
235,경쟁률,-0.2028130019592308
236,직관,-0.20240297041351585
237,한양대,-0.20239993994304584
238,남북통일,-0.20214179042199446
239,한노총,-0.20138816555598205
240,추락,-0.20071258498503722
241,열기,-0.20043329076812108
242,박종철,-0.2002422502537289
243,애널,-0.20022524881608295
244,영상,-0.19936705693597334
245,논의,-0.19885720221833791
246,개설,-0.19879186466181026
247,주기,-0.19857773811776208
248,나기,-0.198059684232049
249,에이스,-0.19786582898618124
250,어머니,-0.19762485113677425
251,감지,-0.19665839348923253
252,완구,-0.19635063676824074
253,핵잠수함,-0.1962814532453885
254,재단법인,-0.19595796104763402
255,금액,-0.19585737758813251
256,배현진,-0.19585011783181203
257,미술사,-0.195451234612205
258,무지개,-0.1954183801572875
259,무비,-0.19460064767216625
260,조계사,-0.1944589669766368
261,어촌,-0.1940174044425222
262,년비,-0.19378978828348262
263,부장,-0.19354541273569498
264,하락,-0.19320258608916255
265,근원,-0.1931534066276428
266,카이스트,-0.19301211117909262
267,군부,-0.19262912450019215
268,풍선,-0.19257116709509017
269,지지율,-0.19252415294360234
270,비결,-0.19240678514443868
271,우주관광,-0.19214384200403226
272,통합,-0.19209087198820413
273,비누,-0.19206190399419254
274,개론,-0.1920486663704722
275,고정관념,-0.1913670600700105
276,원피스,-0.1913184466220074
277,깃발,-0.1910440241496005
278,중국,-0.1909865038797689
279,한단,-0.19097744141283668
280,균열,-0.19093131375821304
281,대사,-0.1902549313054921
282,서바이벌,-0.1899595451395046
283,금투,-0.18985786230012833
284,산란,-0.18938064870761187
285,반등,-0.18915882628936787
286,주정,-0.18845450888918527
287,평온,-0.18841066143330462
288,주제,-0.1883171704903128
289,미얀마,-0.18829737017625908
290,호흡,-0.18768832601483526
291,관위,-0.1876467031385139
292,고리,-0.18718864690627662
293,세방,-0.18699254004108826
294,독주,-0.1868379642800609
295,통신망,-0.18664764058706354
296,착취,-0.18655910814404497
297,목회,-0.1865491221955909
298,우박,-0.18631269141509904
299,화재,-0.18620587269863453
300,신제품,-0.1861590611860956
301,처서,-0.18597869551227594
302,스마트워치,-0.18572925613841496
303,공헌,-0.18537259498808267
304,탐지,-0.18477252274204792
305,변동,-0.18475910519641164
306,정전협정,-0.1847523203379151
307,안성시,-0.18443529941698134
308,박양우,-0.18374890452739737
309,펜데믹,-0.1836608101226263
310,붕어빵,-0.18363210008152087
311,여전,-0.18362536368620694
312,호갱,-0.18361178827332963
313,고교,-0.1833996197282696
314,무용,-0.18321312176724544
315,실력,-0.18320662825623188
316,노블레스,-0.18309180297621774
317,개관,-0.18274740255037353
318,혈통,-0.18272023218277492
319,오리무중,-0.18261376354134098
320,복지부,-0.18243138953238205
321,옥수,-0.18231190345217213
322,도민,-0.18220027358026164
323,감염,-0.18214259334801325
324,수어,-0.1819349686385321
325,액세서리,-0.1819023733190746
326,무직,-0.18174375137799129
327,막바지,-0.18131849522174337
328,인공위성,-0.18094098076021728
329,신체,-0.18071898416286408
330,이하,-0.1801478630776586
331,출자,-0.1797927151598707
332,총력전,-0.17962933438514395
333,시정,-0.1794599805376808
334,출범,-0.17937249318142998
335,마감,-0.1790300236595385
336,용인시,-0.17889244715707506
337,트럼프,-0.1783576084962653
